Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-153.644600,-110.134400,-90.000000,bottom
"C2","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-151.511000,-110.162800,-90.000000,bottom
"C3","0.1uF","C_0402_1005Metric",-151.460200,-112.826800,0.000000,bottom
"C4","10pF","C_0402_1005Metric",-148.850666,-116.052600,0.000000,bottom
"C5","22uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-145.872200,-121.259600,180.000000,bottom
"C6","22uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-145.872200,-119.202200,180.000000,bottom
"C7","22uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-145.872200,-117.144800,180.000000,bottom
"C8","0.1µF","C_0402_1005Metric",-120.142000,-125.984000,90.000000,bottom
"C9","0.1µF","C_0402_1005Metric",-120.142000,-120.641000,90.000000,bottom
"C10","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-139.065000,-126.746000,90.000000,bottom
"C11","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-162.382200,-115.112800,0.000000,bottom
"C12","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-162.382200,-117.144800,0.000000,bottom
"C13","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-162.382200,-119.176800,0.000000,bottom
"C14","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-154.279600,-100.253800,90.000000,bottom
"C15","100pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-150.368000,-103.479600,180.000000,bottom
"C16","22uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-149.468000,-100.253800,90.000000,bottom
"C17","22uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-151.873800,-100.253800,90.000000,bottom
"D1","Red LED","LED_D1.8mm_W3.3mm_H2.4mm",-108.458000,-110.998000,180.000000,bottom
"D2","Green LED","LED_D1.8mm_W3.3mm_H2.4mm",-112.268000,-110.998000,0.000000,bottom
"D3","D","D_0603_1608Metric",-160.650000,-132.100212,0.000000,bottom
"D4","D","D_0603_1608Metric",-160.650000,-129.625000,0.000000,bottom
"F1","3A Fuse","Fuse_1206_3216Metric",-158.750000,-100.685600,90.000000,bottom
"G***","LOGO","wifi_to_led_18mm",-156.950000,-131.675000,90.000000,bottom
"IC1","74HCT245","SOIC-20W_7.5x10.0mm_P1.27mm",-130.810000,-121.920000,90.000000,bottom
"J5","switch_jumpers","PinHeader_1x02_P2.54mm_Vertical",-106.680000,-124.460000,180.000000,bottom
"J6","switch_jumpers","PinHeader_1x02_P2.54mm_Vertical",-106.680000,-119.380000,180.000000,bottom
"L1","1uH","L_Taiyo-Yuden_NR-40xx_HandSoldering",-143.267100,-112.570600,-90.000000,bottom
"R1","300K","R_0402_1005Metric",-148.850666,-118.443840,0.000000,bottom
"R2","100K","R_0402_1005Metric",-148.850666,-117.248220,0.000000,bottom
"R3","1M","R_0402_1005Metric",-148.850666,-122.030700,0.000000,bottom
"R4","1K","R_0402_1005Metric",-117.856000,-125.975000,-90.000000,bottom
"R5","10k","R_0402_1005Metric",-122.428000,-125.975000,-90.000000,bottom
"R6","1K","R_0402_1005Metric",-117.856000,-120.641000,-90.000000,bottom
"R7","10k","R_0402_1005Metric",-122.428000,-120.650000,-90.000000,bottom
"R8","680","R_0402_1005Metric",-108.407200,-114.096800,-90.000000,bottom
"R9","680","R_0402_1005Metric",-112.268000,-114.122200,-90.000000,bottom
"R10","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-136.652000,-110.762000,90.000000,bottom
"R11","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-134.366000,-110.744000,90.000000,bottom
"R12","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-132.080000,-110.762000,90.000000,bottom
"R13","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-129.794000,-110.762000,90.000000,bottom
"R14","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-127.508000,-110.762000,90.000000,bottom
"R15","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-125.222000,-110.762000,90.000000,bottom
"R16","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-122.936000,-110.753000,90.000000,bottom
"R17","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-120.650000,-110.744000,90.000000,bottom
"R18","0","R_0402_1005Metric",-155.346400,-109.245400,90.000000,bottom
"R19","4.7k","R_0402_1005Metric",-156.387800,-101.015800,-90.000000,bottom
"R20","300K","R_0402_1005Metric",-148.850666,-119.639460,180.000000,bottom
"R21","300K","R_0402_1005Metric",-148.850666,-120.835080,0.000000,bottom
"R22","15","R_0402_1005Metric",-143.840200,-126.847600,-90.000000,bottom
"R23","0","R_0402_1005Metric",-156.921200,-114.147600,-90.000000,bottom
"R24","NP","R_0402_1005Metric",-156.921200,-116.281200,90.000000,bottom
"SW1","SW_MEC_5G","PTS647SK38SMTR2LFS",-112.522000,-125.908000,180.000000,bottom
"SW2","SW_MEC_5G","PTS647SK38SMTR2LFS",-112.522000,-120.650000,180.000000,bottom
"U1","TPS63060","Texas_S-PWSON-N10_ThermalVias",-147.917100,-112.320600,-90.000000,bottom
"U3","TPS2553DBVR","SOT-23-6_Handsoldering",-147.015200,-125.755400,-90.000000,bottom
"U4","TPS22810DBVR","SOT-23-6_Handsoldering",-155.549600,-104.902000,-90.000000,bottom
"U5","74LVC1G32","SOT-353_SC-70-5_Handsoldering",-153.568400,-115.214400,180.000000,bottom
